Date,Days Since First Case,New Confirmed Cases,New Deaths,Recovered Cases,Total Confirmed Cases,Total Confirmed Deaths,Total Recovered Cases,New Confirmed Cases per 100.000 people,New Confirmed Deaths per 100.000 people,Total Confirmed Cases per 100.000 people,Total Confirmed Deaths per 100.000 people
2020-03-21,0,2,0,0,2,0,0,0.006085266510940639,0.0,0.006085266510940639,0.0
2020-03-22,1,0,0,0,2,0,0,0.0,0.0,0.006085266510940639,0.0
2020-03-23,2,1,0,0,3,0,0,0.0030426332554703197,0.0,0.009127899766410959,0.0
2020-03-24,3,0,0,0,3,0,0,0.0,0.0,0.009127899766410959,0.0
2020-03-25,4,0,0,0,3,0,0,0.0,0.0,0.009127899766410959,0.0
2020-03-26,5,1,0,0,4,0,0,0.0030426332554703197,0.0,0.012170533021881279,0.0
2020-03-27,6,0,0,0,4,0,0,0.0,0.0,0.012170533021881279,0.0
2020-03-28,7,1,0,0,5,0,0,0.0030426332554703197,0.0,0.015213166277351598,0.0
2020-03-29,8,2,2,0,7,2,0,0.006085266510940639,0.006085266510940639,0.021298432788292236,0.006085266510940639
2020-03-30,9,0,0,1,7,2,1,0.0,0.0,0.021298432788292236,0.006085266510940639
2020-03-31,10,0,0,0,7,2,1,0.0,0.0,0.021298432788292236,0.006085266510940639
2020-04-01,11,1,0,0,8,2,1,0.0030426332554703197,0.0,0.024341066043762558,0.006085266510940639
2020-04-02,12,0,0,0,8,2,1,0.0,0.0,0.024341066043762558,0.006085266510940639
2020-04-03,13,0,0,0,8,2,1,0.0,0.0,0.024341066043762558,0.006085266510940639
2020-04-04,14,2,0,1,10,2,2,0.006085266510940639,0.0,0.030426332554703197,0.006085266510940639
2020-04-05,15,4,0,0,14,2,2,0.012170533021881279,0.0,0.04259686557658447,0.006085266510940639
2020-04-06,16,2,0,0,16,2,2,0.006085266510940639,0.0,0.048682132087525115,0.006085266510940639
2020-04-07,17,1,0,0,17,2,2,0.0030426332554703197,0.0,0.05172476534299544,0.006085266510940639
2020-04-08,18,2,0,0,19,2,2,0.006085266510940639,0.0,0.05781003185393607,0.006085266510940639
2020-04-09,19,0,0,0,19,2,2,0.0,0.0,0.05781003185393607,0.006085266510940639
2020-04-10,20,0,0,0,19,2,2,0.0,0.0,0.05781003185393607,0.006085266510940639
2020-04-11,21,0,0,2,19,2,4,0.0,0.0,0.05781003185393607,0.006085266510940639
2020-04-12,22,0,0,0,19,2,4,0.0,0.0,0.05781003185393607,0.006085266510940639
2020-04-13,23,0,0,0,19,2,4,0.0,0.0,0.05781003185393607,0.006085266510940639
2020-04-14,24,0,0,1,19,2,5,0.0,0.0,0.05781003185393607,0.006085266510940639
2020-04-15,25,0,0,0,19,2,5,0.0,0.0,0.05781003185393607,0.006085266510940639
2020-04-16,26,0,0,0,19,2,5,0.0,0.0,0.05781003185393607,0.006085266510940639
2020-04-17,27,0,0,0,19,2,5,0.0,0.0,0.05781003185393607,0.006085266510940639
2020-04-18,28,5,0,1,24,2,6,0.015213166277351598,0.0,0.07302319813128767,0.006085266510940639
2020-04-19,29,0,0,0,24,2,6,0.0,0.0,0.07302319813128767,0.006085266510940639
2020-04-20,30,0,0,0,24,2,6,0.0,0.0,0.07302319813128767,0.006085266510940639
2020-04-21,31,0,0,0,24,2,6,0.0,0.0,0.07302319813128767,0.006085266510940639
2020-04-22,32,1,0,0,25,2,6,0.0030426332554703197,0.0,0.07606583138675799,0.006085266510940639
2020-04-23,33,0,0,0,25,2,6,0.0,0.0,0.07606583138675799,0.006085266510940639
2020-04-24,34,0,0,0,25,2,6,0.0,0.0,0.07606583138675799,0.006085266510940639
2020-04-25,35,0,0,0,25,2,6,0.0,0.0,0.07606583138675799,0.006085266510940639
2020-04-26,36,1,0,0,26,2,6,0.0030426332554703197,0.0,0.07910846464222832,0.006085266510940639
2020-04-27,37,1,0,0,27,2,6,0.0030426332554703197,0.0,0.08215109789769863,0.006085266510940639
2020-04-28,38,0,0,1,27,2,7,0.0,0.0,0.08215109789769863,0.006085266510940639
2020-04-29,39,0,0,0,27,2,7,0.0,0.0,0.08215109789769863,0.006085266510940639
2020-04-30,40,0,0,0,27,2,7,0.0,0.0,0.08215109789769863,0.006085266510940639
2020-05-01,41,3,0,4,30,2,11,0.009127899766410959,0.0,0.09127899766410959,0.006085266510940639
2020-05-02,42,5,0,0,35,2,11,0.015213166277351598,0.0,0.10649216394146119,0.006085266510940639
2020-05-03,43,0,0,0,35,2,11,0.0,0.0,0.10649216394146119,0.006085266510940639
2020-05-04,44,0,0,0,35,2,11,0.0,0.0,0.10649216394146119,0.006085266510940639
2020-05-05,45,1,0,0,36,2,11,0.0030426332554703197,0.0,0.1095347971969315,0.006085266510940639
2020-05-06,46,0,0,0,36,2,11,0.0,0.0,0.1095347971969315,0.006085266510940639
2020-05-07,47,0,0,0,36,2,11,0.0,0.0,0.1095347971969315,0.006085266510940639
2020-05-08,48,7,0,0,43,2,11,0.021298432788292236,0.0,0.13083322998522376,0.006085266510940639
2020-05-09,49,0,0,2,43,2,13,0.0,0.0,0.13083322998522376,0.006085266510940639
2020-05-10,50,2,0,0,45,2,13,0.006085266510940639,0.0,0.1369184964961644,0.006085266510940639
2020-05-11,51,0,0,0,45,2,13,0.0,0.0,0.1369184964961644,0.006085266510940639
2020-05-12,52,0,0,1,45,2,14,0.0,0.0,0.1369184964961644,0.006085266510940639
2020-05-13,53,0,0,0,45,2,14,0.0,0.0,0.1369184964961644,0.006085266510940639
2020-05-14,54,3,0,0,48,2,14,0.009127899766410959,0.0,0.14604639626257535,0.006085266510940639
2020-05-15,55,0,0,3,48,2,17,0.0,0.0,0.14604639626257535,0.006085266510940639
2020-05-16,56,0,0,0,48,2,17,0.0,0.0,0.14604639626257535,0.006085266510940639
2020-05-17,57,0,0,0,48,2,17,0.0,0.0,0.14604639626257535,0.006085266510940639
2020-05-18,58,2,1,0,50,3,17,0.006085266510940639,0.0030426332554703197,0.15213166277351597,0.009127899766410959
